block_id	drug_row	drug_col	css_ri	synergy_zip	synergy_bliss	synergy_loewe	synergy_hsa	S	cell_line_name	cellosaurus_accession
16145	5-FU	ABT-888	29.18	-3.61	-0.72	-10.71	-2.05	11.74	EFM192B	CVCL_1813
16146	5-FU	ABT-888	23.56	-9.42	-2.57	-12.55	-3.9	6.13	EFM192B	CVCL_1813
16147	5-FU	ABT-888	32.1	3.66	5.96	-4.03	4.63	14.66	EFM192B	CVCL_1813
16148	5-FU	ABT-888	26.64	0.52	0.59	-9.4	-0.74	9.2	EFM192B	CVCL_1813
16149	5-FU	AZD1775	45.48	-8.57	-5.78	-1.11	2.66	7.7	EFM192B	CVCL_1813
16150	5-FU	AZD1775	46.21	-9.7	-7.56	-2.89	0.88	8.43	EFM192B	CVCL_1813
16151	5-FU	AZD1775	50.59	-3.31	1.17	5.84	9.61	12.81	EFM192B	CVCL_1813
16152	5-FU	AZD1775	52.16	-0.07	3	7.67	11.45	14.38	EFM192B	CVCL_1813
16153	5-FU	BEZ-235	57.31	-3.86	-2.55	1.3	3.59	-7.62	EFM192B	CVCL_1813
16154	5-FU	BEZ-235	57.78	-1.25	1.49	5.34	7.63	-7.14	EFM192B	CVCL_1813
16155	5-FU	BEZ-235	57.97	-1.58	-0.03	3.81	6.1	-6.95	EFM192B	CVCL_1813
16156	5-FU	BEZ-235	62.85	4.08	4.43	8.27	10.56	-2.07	EFM192B	CVCL_1813
16157	5-FU	BORTEZOMIB	38.05	-6.41	-6.67	-5.33	-3.46	-14.9	EFM192B	CVCL_1813
16158	5-FU	BORTEZOMIB	46.27	-1.43	-2.01	-0.67	1.19	-6.69	EFM192B	CVCL_1813
16159	5-FU	BORTEZOMIB	54.24	0.76	3.07	4.41	6.27	1.29	EFM192B	CVCL_1813
16160	5-FU	BORTEZOMIB	47.38	-2.99	-1.04	0.29	2.16	-5.57	EFM192B	CVCL_1813
16161	5-FU	DASATINIB	28.57	-9.57	-6.38	0.56	1.86	-2.97	EFM192B	CVCL_1813
16162	5-FU	DASATINIB	26.72	-7.26	-4.16	2.78	4.08	-4.81	EFM192B	CVCL_1813
16163	5-FU	DASATINIB	28.26	-10.48	-2.1	4.84	6.15	-3.27	EFM192B	CVCL_1813
16164	5-FU	DASATINIB	32.3	-8.46	-1.03	5.91	7.22	0.77	EFM192B	CVCL_1813
16165	5-FU	DINACICLIB	64.71	1.29	1.87	2.27	5.67	11.94	EFM192B	CVCL_1813
16166	5-FU	DINACICLIB	59.98	-5.12	-1.84	-1.44	1.96	7.21	EFM192B	CVCL_1813
16167	5-FU	DINACICLIB	59.19	-5.1	-1.95	-1.55	1.85	6.42	EFM192B	CVCL_1813
16168	5-FU	DINACICLIB	61.65	-1.16	2.31	2.71	6.11	8.88	EFM192B	CVCL_1813
